,title,year,imdb_score,rotten_score,decade
567,Vice Principals,2016,8.0,83.0,2010-2019
579,Storks,2016,6.8,66.0,2010-2019
587,Fantastic Beasts: The Crimes of Grindelwald,2018,6.6,36.0,2010-2019
609,Bright Lights: Starring Carrie Fisher and Debbie Reynolds,2016,8.0,100.0,2010-2019
613,Smallfoot,2018,6.6,76.0,2010-2019
615,Bridget Jones's Baby,2016,6.5,78.0,2010-2019
620,Momentum Generation,2018,8.1,100.0,2010-2019
624,Search Party,2016,7.5,96.0,2010-2019
625,King in the Wilderness,2018,8.0,100.0,2010-2019
628,The Plot Against America,2020,7.3,86.0,2020-2029
630,Linda Ronstadt: The Sound of My Voice,2019,8.0,89.0,2010-2019
638,Teen Titans: The Judas Contract,2017,7.0,83.0,2010-2019
657,Shaft,2019,6.4,33.0,2010-2019
661,Show Me a Hero,2015,8.1,96.0,2010-2019
674,Western Stars,2019,7.5,94.0,2010-2019
677,High Maintenance,2016,8.0,98.0,2010-2019
682,Annabelle Comes Home,2019,5.9,65.0,2010-2019
696,The Inventor: Out for Blood in Silicon Valley,2019,7.1,78.0,2010-2019
697,Life According to Sam,2013,8.2,100.0,2010-2019
700,Stuber,2019,6.2,41.0,2010-2019
714,McMillion$,2020,7.2,88.0,2020-2029
716,We're Here,2020,8.0,100.0,2020-2029
718,American Woman,2019,6.8,88.0,2010-2019
726,Jane Fonda in Five Acts,2018,8.0,97.0,2010-2019
728,Hunter Killer,2018,6.6,36.0,2010-2019
732,The Kid Who Would Be King,2019,6.0,89.0,2010-2019
735,Breakthrough,2019,6.2,61.0,2010-2019
739,Perry Mason,2020,7.2,80.0,2020-2029
741,Tolkien,2019,6.8,50.0,2010-2019
752,The Wizard of Lies,2017,6.8,74.0,2010-2019
755,Indignation,2016,6.7,81.0,2010-2019
757,Love Life,2020,7.4,59.0,2020-2029
761,The Price of Everything,2018,7.2,92.0,2010-2019
767,Brexit: The Uncivil War,2019,7.0,79.0,2010-2019
772,The Cold Blue,2018,7.5,100.0,2010-2019
776,Vinyl,2016,7.8,74.0,2010-2019
782,"3 ½ Minutes, 10 Bullets",2015,7.2,100.0,2010-2019
787,Valentine Road,2013,7.1,91.0,2010-2019
790,Togetherness,2015,7.5,90.0,2010-2019
793,Crashing,2017,7.5,90.0,2010-2019
796,Mrs. Fletcher,2019,7.0,84.0,2010-2019
806,Cries from Syria,2017,8.2,100.0,2010-2019
808,Glass,2019,6.7,37.0,2010-2019
809,Craig of the Creek,2018,7.3,100.0,2010-2019
815,Ma,2019,5.6,55.0,2010-2019
816,Scoob!,2020,5.7,49.0,2020-2029
817,My Dinner with Hervé,2018,7.0,83.0,2010-2019
818,RUN,2020,6.3,82.0,2020-2029
819,The Case Against 8,2014,7.3,90.0,2010-2019
831,The New Pope,2020,8.2,90.0,2020-2029
845,Avenue 5,2020,6.4,66.0,2020-2029
852,Ice on Fire,2019,7.4,90.0,2010-2019
855,The Confirmation,2016,6.4,91.0,2010-2019
856,Bessie,2015,6.6,90.0,2010-2019
859,Looney Tunes Cartoons,2020,8.3,88.0,2020-2029
860,Sgt. Stubby: An American Hero,2018,6.8,89.0,2010-2019
864,I Am Evidence,2017,7.6,100.0,2010-2019
869,Everything Is Copy,2015,7.5,100.0,2010-2019
874,After Truth: Disinformation and the Cost of Fake News,2020,6.9,100.0,2020-2029
888,Jim: The James Foley Story,2016,7.7,91.0,2010-2019
891,Mapplethorpe: Look at the Pictures,2016,7.5,97.0,2010-2019
903,Olive Kitteridge,2014,8.3,95.0,2010-2019
905,Our Boys,2019,7.4,93.0,2010-2019
921,Breslin and Hamill: Deadline Artists,2018,8.0,100.0,2010-2019
923,Snatchers,2019,5.6,100.0,2010-2019
929,David Bowie: The Last Five Years,2017,7.5,88.0,2010-2019
930,Petra,2018,6.8,94.0,2010-2019
932,Batman: The Killing Joke,2016,6.4,40.0,2010-2019
934,The Brink,2015,7.8,55.0,2010-2019
941,An Unexpected Love,2018,6.8,88.0,2010-2019
956,Her Smell,2018,6.2,83.0,2010-2019
958,In a Valley of Violence,2016,6.0,76.0,2010-2019
962,Natalie Wood: What Remains Behind,2020,7.2,79.0,2020-2029
965,Johnny English Strikes Again,2018,6.2,37.0,2010-2019
991,Hummingbird,2013,6.2,49.0,2010-2019
994,Batwoman,2019,3.6,79.0,2010-2019
1005,Class Divide,2016,7.4,100.0,2010-2019
1007,Beware the Slenderman,2016,6.2,83.0,2010-2019
1009,Accused,2018,6.0,92.0,2010-2019
1010,Unfriended,2015,5.5,62.0,2010-2019
1012,Getting On,2013,7.8,92.0,2010-2019
1017,Atlanta's Missing and Murdered: The Lost Children,2020,7.2,94.0,2020-2029
1024,"If You're Not In The Obit, Eat Breakfast",2017,7.5,100.0,2010-2019
1034,At Home with Amy Sedaris,2017,7.6,100.0,2010-2019
1035,Baltimore Rising,2017,6.2,100.0,2010-2019
1037,Bastille Day,2016,6.3,48.0,2010-2019
1039,Diego Maradona,2019,7.7,89.0,2010-2019
1040,Nancy Drew,2019,6.0,53.0,2010-2019
1041,The Apollo,2019,6.4,95.0,2010-2019
1047,The Sentence,2018,6.7,90.0,2010-2019
1048,Los Espookys,2019,7.5,100.0,2010-2019
1049,Unfriended: Dark Web,2018,5.9,60.0,2010-2019
1051,Game of Thrones: The Last Watch,2019,7.2,100.0,2010-2019
1058,Coyote Lake,2019,5.1,83.0,2010-2019
1064,Cake,2014,6.4,48.0,2010-2019
1068,O.G.,2018,6.2,89.0,2010-2019
1069,Animals.,2016,7.2,84.0,2010-2019
1072,Icebox,2018,5.8,100.0,2010-2019
1075,The Great Gilly Hopkins,2015,6.5,65.0,2010-2019
1080,Room 104,2017,6.1,88.0,2010-2019
1085,Nancy Drew and the Hidden Staircase,2019,5.7,67.0,2010-2019
1086,Betty,2020,6.3,96.0,2020-2029
1087,Say Her Name: The Life and Death of Sandra Bland,2018,6.5,100.0,2010-2019
1094,At the Heart of Gold: Inside the USA Gymnastics Scandal,2019,8.1,100.0,2010-2019
1095,Divorce,2016,6.8,77.0,2010-2019
1112,Beware the Batman,2013,7.3,82.0,2010-2019
1114,Gunpowder,2017,6.6,72.0,2010-2019
1115,Hello Ladies,2013,7.4,52.0,2010-2019
1117,Freeheld,2015,6.6,49.0,2010-2019
1119,The Immortal Life of Henrietta Lacks,2017,6.3,69.0,2010-2019
1121,Clear History,2013,6.5,61.0,2010-2019
1125,They Came Together,2014,5.5,68.0,2010-2019
1126,Thought Crimes,2015,6.4,89.0,2010-2019
1136,Family Tree,2013,7.4,81.0,2010-2019
1155,Suited,2016,6.8,100.0,2010-2019
1156,Paterno,2018,6.5,70.0,2010-2019
1166,The Sun Is Also a Star,2019,5.8,51.0,2010-2019
1170,Well Groomed,2019,6.3,94.0,2010-2019
1173,How to Dance in Ohio,2015,7.7,89.0,2010-2019
1177,The Not Too Late Show with Elmo,2020,7.8,80.0,2020-2029
1191,She's Funny That Way,2015,6.1,44.0,2010-2019
1192,Kin,2018,5.8,34.0,2010-2019
1196,Papi Chulo,2019,6.4,74.0,2010-2019
1201,Nothing Left Unsaid: Gloria Vanderbilt & Anderson Cooper,2016,7.8,67.0,2010-2019
1209,The Little Stranger,2018,5.5,65.0,2010-2019
1210,A LEGO Brickumentary,2014,6.8,55.0,2010-2019
1212,Mavis!,2015,7.3,97.0,2010-2019
1222,Sally4Ever,2018,6.5,97.0,2010-2019
1224,A Black Lady Sketch Show,2019,7.1,100.0,2010-2019
1239,The Oslo Diaries,2018,7.1,82.0,2010-2019
1248,Abortion: Stories Women Tell,2016,7.1,100.0,2010-2019
1250,Wyatt Cenac's Problem Areas,2018,6.5,100.0,2010-2019
1260,Mosaic,2018,6.4,78.0,2010-2019
1267,Native Son,2019,5.7,62.0,2010-2019
1290,Unlocking the Cage,2016,7.0,82.0,2010-2019
1297,The Case Against Adnan Syed,2019,6.6,82.0,2010-2019
1299,Almost Royal,2014,7.2,75.0,2010-2019
1300,Arthur Miller: Writer,2017,7.3,91.0,2010-2019
1318,Share,2019,5.6,83.0,2010-2019
1325,Katy Keene,2020,6.1,90.0,2020-2029
1332,Traffic Stop,2017,5.3,100.0,2010-2019
1346,Fahrenheit 451,2018,4.9,33.0,2010-2019
1355,Pulling Strings,2013,6.0,58.0,2010-2019
1362,Elvis Presley: The Searcher,2018,7.7,96.0,2010-2019
1376,Phil Spector,2013,6.2,50.0,2010-2019
1379,Becoming Mike Nichols,2016,7.1,70.0,2010-2019
1384,2 Dope Queens,2018,5.5,94.0,2010-2019
1430,John McCain: For Whom the Bell Tolls,2018,7.3,92.0,2010-2019
1439,Tracey Ullman's Show,2016,7.0,95.0,2010-2019
1441,The Silences,2019,6.7,78.0,2010-2019
1449,LUV,2013,6.0,34.0,2010-2019
1450,United Skates,2018,6.8,100.0,2010-2019
1451,Salinger,2013,6.7,36.0,2010-2019
